,time,number,t2m
385,2024-03-17 18:00:00,36,284.68937991690063
386,2024-03-17 18:00:00,37,284.7916169654302
387,2024-03-17 18:00:00,38,284.42362898939143
388,2024-03-17 18:00:00,39,285.25475139762506
389,2024-03-17 18:00:00,40,284.0696156759915
390,2024-03-17 18:00:00,41,285.00041081658077
391,2024-03-17 18:00:00,42,284.6085006963697
392,2024-03-17 18:00:00,43,284.65582007435665
393,2024-03-17 18:00:00,44,284.7107377448991
394,2024-03-17 18:00:00,45,284.59045582718636
395,2024-03-17 18:00:00,46,285.20746643998933
396,2024-03-17 18:00:00,47,285.01720794802844
397,2024-03-17 18:00:00,48,284.97853668331237
398,2024-03-17 18:00:00,49,285.3335826072521
399,2024-03-17 18:00:00,50,284.81478186187337
400,2024-03-18 00:00:00,1,283.9027458127574
401,2024-03-18 00:00:00,2,284.18606832961916
402,2024-03-18 00:00:00,3,283.08052967042966
403,2024-03-18 00:00:00,4,283.7664584316775
404,2024-03-18 00:00:00,5,283.38800666883526
405,2024-03-18 00:00:00,6,283.30967455430243
406,2024-03-18 00:00:00,7,283.441427054095
407,2024-03-18 00:00:00,8,282.8129802795636
408,2024-03-18 00:00:00,9,283.36130508129327
409,2024-03-18 00:00:00,10,284.32620218495987
410,2024-03-18 00:00:00,11,283.5670527313514
411,2024-03-18 00:00:00,12,282.062478939226
412,2024-03-18 00:00:00,13,283.89639525793757
413,2024-03-18 00:00:00,14,284.06755045491184
414,2024-03-18 00:00:00,15,283.839687729126
415,2024-03-18 00:00:00,16,284.00550777164466
416,2024-03-18 00:00:00,17,284.1659926597075
417,2024-03-18 00:00:00,18,283.69523411969374
418,2024-03-18 00:00:00,19,284.14436807398624
419,2024-03-18 00:00:00,20,283.4546358639168
420,2024-03-18 00:00:00,21,283.9874370871979
421,2024-03-18 00:00:00,22,283.2684819988517
422,2024-03-18 00:00:00,23,283.81043043049795
423,2024-03-18 00:00:00,24,283.3999677409214
424,2024-03-18 00:00:00,25,284.29696209650746
425,2024-03-18 00:00:00,26,283.7997601215865
426,2024-03-18 00:00:00,27,283.4299736821909
427,2024-03-18 00:00:00,28,283.39385812856085
428,2024-03-18 00:00:00,29,283.8320550162192
429,2024-03-18 00:00:00,30,284.1059549619052
430,2024-03-18 00:00:00,31,283.06628825006806
431,2024-03-18 00:00:00,32,284.33052193905144
432,2024-03-18 00:00:00,33,282.6632001207634
433,2024-03-18 00:00:00,34,282.96201179572245
434,2024-03-18 00:00:00,35,283.9564243506521
435,2024-03-18 00:00:00,36,282.449793942535
436,2024-03-18 00:00:00,37,284.03982486191785
437,2024-03-18 00:00:00,38,282.9467549749966
438,2024-03-18 00:00:00,39,283.71837320087343
439,2024-03-18 00:00:00,40,283.17997867050167
440,2024-03-18 00:00:00,41,283.830790068308
441,2024-03-18 00:00:00,42,283.7842279380501
442,2024-03-18 00:00:00,43,282.7689566502162
443,2024-03-18 00:00:00,44,283.7712772808633
444,2024-03-18 00:00:00,45,284.23515175061164
445,2024-03-18 00:00:00,46,282.5868729916955
446,2024-03-18 00:00:00,47,282.97372332026146
447,2024-03-18 00:00:00,48,283.5764580923515
448,2024-03-18 00:00:00,49,283.2310756820469
449,2024-03-18 00:00:00,50,284.2745716579691
450,2024-03-18 06:00:00,1,282.9218346406358
451,2024-03-18 06:00:00,2,283.2501703719456
452,2024-03-18 06:00:00,3,281.45108744877723
453,2024-03-18 06:00:00,4,282.756023203205
454,2024-03-18 06:00:00,5,282.73083611112133
455,2024-03-18 06:00:00,6,282.6110360783271
456,2024-03-18 06:00:00,7,282.7524520917548
457,2024-03-18 06:00:00,8,282.26693582610943
458,2024-03-18 06:00:00,9,282.565764711244
459,2024-03-18 06:00:00,10,282.586382501689
460,2024-03-18 06:00:00,11,282.8157683280211
461,2024-03-18 06:00:00,12,282.29670943000747
462,2024-03-18 06:00:00,13,283.3109395022137
463,2024-03-18 06:00:00,14,282.70336867076225
464,2024-03-18 06:00:00,15,282.86510990164857
465,2024-03-18 06:00:00,16,283.2227029315866
466,2024-03-18 06:00:00,17,280.9579298651372
467,2024-03-18 06:00:00,18,283.106964500249
468,2024-03-18 06:00:00,19,283.1575968370512
469,2024-03-18 06:00:00,20,282.92462268909327
470,2024-03-18 06:00:00,21,283.59401247152834
471,2024-03-18 06:00:00,22,282.4152014894512
472,2024-03-18 06:00:00,23,283.3307828347538
473,2024-03-18 06:00:00,24,281.72752589537356
474,2024-03-18 06:00:00,25,283.0548434832517
475,2024-03-18 06:00:00,26,282.81120763147027
476,2024-03-18 06:00:00,27,282.6616684151294
477,2024-03-18 06:00:00,28,282.3648617256352
478,2024-03-18 06:00:00,29,283.17029794669094
479,2024-03-18 06:00:00,30,282.97269931480946
480,2024-03-18 06:00:00,31,281.9263980802541
481,2024-03-18 06:00:00,32,283.4882215217243
482,2024-03-18 06:00:00,33,282.31983130101145
483,2024-03-18 06:00:00,34,281.16649137891636
484,2024-03-18 06:00:00,35,282.80865192038425
485,2024-03-18 06:00:00,36,281.2313307157289
486,2024-03-18 06:00:00,37,282.8274712474723
487,2024-03-18 06:00:00,38,282.3913137656301
488,2024-03-18 06:00:00,39,282.6916571462232
489,2024-03-18 06:00:00,40,283.16852529859756
490,2024-03-18 06:00:00,41,283.18659598304436
491,2024-03-18 06:00:00,42,283.31374476084693
492,2024-03-18 06:00:00,43,282.6687934278541
493,2024-03-18 06:00:00,44,281.7809376755455
494,2024-03-18 06:00:00,45,283.5538267113539
495,2024-03-18 06:00:00,46,282.485143643348
496,2024-03-18 06:00:00,47,283.1817599236829
497,2024-03-18 06:00:00,48,283.1331755977846
498,2024-03-18 06:00:00,49,280.9892093594058
499,2024-03-18 06:00:00,50,283.3142438559412
500,2024-03-18 12:00:00,1,285.57342361529976
501,2024-03-18 12:00:00,2,285.89692328724817
502,2024-03-18 12:00:00,3,285.9620293817835
503,2024-03-18 12:00:00,4,286.37988384180755
504,2024-03-18 12:00:00,5,285.8183416251683
505,2024-03-18 12:00:00,6,286.5998729122273
506,2024-03-18 12:00:00,7,285.95031785724444
507,2024-03-18 12:00:00,8,286.043906792503
508,2024-03-18 12:00:00,9,286.98186136616835
509,2024-03-18 12:00:00,10,286.3745314771761
510,2024-03-18 12:00:00,11,285.89613161916765
511,2024-03-18 12:00:00,12,286.4327793167095
512,2024-03-18 12:00:00,13,285.89638977180266
513,2024-03-18 12:00:00,14,286.2514356957423
514,2024-03-18 12:00:00,15,287.35749066020173
515,2024-03-18 12:00:00,16,285.707955558462
516,2024-03-18 12:00:00,17,286.9106370541846
517,2024-03-18 12:00:00,18,286.4388717188944
518,2024-03-18 12:00:00,19,286.11306588340716
519,2024-03-18 12:00:00,20,286.594004242326
520,2024-03-18 12:00:00,21,284.3002836604105
521,2024-03-18 12:00:00,22,286.0258705284076
522,2024-03-18 12:00:00,23,286.7227191461139
523,2024-03-18 12:00:00,24,285.9882060589679
524,2024-03-18 12:00:00,25,286.87631996391144
525,2024-03-18 12:00:00,26,285.8704540370776
526,2024-03-18 12:00:00,27,286.05334657385447
527,2024-03-18 12:00:00,28,287.41090244037366
528,2024-03-18 12:00:00,29,286.4182883488008
529,2024-03-18 12:00:00,30,286.48592433915866
530,2024-03-18 12:00:00,31,285.99227626551226
531,2024-03-18 12:00:00,32,285.4905135940405
532,2024-03-18 12:00:00,33,285.99280117587
533,2024-03-18 12:00:00,34,285.56756355048634
534,2024-03-18 12:00:00,35,286.76313724365986
535,2024-03-18 12:00:00,36,286.8836945241832
536,2024-03-18 12:00:00,37,286.6156288280473
537,2024-03-18 12:00:00,38,286.3803829369017
538,2024-03-18 12:00:00,39,285.8442773598933
539,2024-03-18 12:00:00,40,286.81323606501655
540,2024-03-18 12:00:00,41,285.8376600473506
541,2024-03-18 12:00:00,42,286.551030433694
542,2024-03-18 12:00:00,43,286.1090214921262
543,2024-03-18 12:00:00,44,285.77457614845576
544,2024-03-18 12:00:00,45,287.1326827405961
545,2024-03-18 12:00:00,46,286.56070255241696
546,2024-03-18 12:00:00,47,286.66090019513035
547,2024-03-18 12:00:00,48,286.7364184459421
548,2024-03-18 12:00:00,49,286.3219113650847
549,2024-03-18 12:00:00,50,285.71482241855176
550,2024-03-18 18:00:00,1,284.68530971035625
551,2024-03-18 18:00:00,2,285.2359234654491
552,2024-03-18 18:00:00,3,284.63166559281285
553,2024-03-18 18:00:00,4,284.5146708186518
554,2024-03-18 18:00:00,5,284.11537753308096
555,2024-03-18 18:00:00,6,283.9861721392866
556,2024-03-18 18:00:00,7,284.3231559838674
557,2024-03-18 18:00:00,8,283.9757513779223
558,2024-03-18 18:00:00,9,283.7600734565063
